agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego
agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego
agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego,agua,tierra,fuego
agua,fuego,fuego,agua,fuego,fuego,hierba,fuego,fuego,agua,tierra,fuego
agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego
agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego
agua,fuego,fuego,agua,fuego,hierba,agua,fuego,fuego,agua,fuego,fuego
agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego
agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego
agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego
agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego
agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego,agua,fuego,fuego
